the_geom,waterway_access,latitude,longitude,boat_ramp_name,asset_owner,contact_number,street,suburb,waterway_name,state,postcode,id,ramp_condition,ramp_material,has_bbq,has_fee_payable,has_kiosk,has_lighting,has_toilets,has_bins,has_pontoon_nearby,has_pontoon_ramp,number_ramp_lanes
0101000020E610000066CABE540BA36240DF2E7BAE015740C0,Shallow At Times,-32.6797388173561,149.095133183134,Lake Burrengong State Park - Eagle Beagle Boat Ramp,Department of Primary Industries - State Parks,02 6846 7435,Fashions Mount Road,Lake Burrendong,Lake Burrendong,NSW,2820,47,GOOD,Concrete,true,true,true,false,true,true,false,false,1
0101000020E610000079D2AA7E3C2363400C21635434803DC0,All Times,-29.5007984869017,153.101134618413,Lawrence - Clarence River,Clarence Valley Council,02 6643 0200,Bridge Street,Lawrence,Clarence River,NSW,2460,48,GOOD,Concrete,true,false,true,true,true,true,true,false,2
0101000020E6100000EBF986DBC1E46240B848E8B5ACEC40C0,All Times,-33.8490207084846,151.148664249063,Taplin Park,City Of Canada Bay Council,02 9911 6555,Bayswater Street,Drummoyne,Parramatta River,NSW,2047,49,GOOD,Concrete,false,false,false,true,true,false,false,true,3
0101000020E61000000AFC08EA561B63400D4D112DD38B3FC0,All Times,-31.5461910407294,152.854359643505,Jabiru Reserve Boat Ramp,Port Macquarie-Hastings Council,02 6581 8111,Evans Street,Lake Cathie,Cathie Creek,NSW,2445,50,GOOD,Concrete,true,false,false,true,false,true,false,false,1
0101000020E6100000A5D0FE9804F16240CB15578DA88A40C0,All Times,-33.083268802187,151.531811235128,Dora Creek Entrance Boat Ramp,Lake Macquarie City Council,02 4921 0333,Dora Street,Dora Creek,Lake Macquarie,NSW,2264,51,GOOD,Concrete,false,false,false,true,false,true,false,false,2
0101000020E6100000016D6D0A3ED16240B96F8D5C609F41C0,Shallow At Times,-35.2451282206161,150.538823331568,Bendalong Boat Harbour Ocean Ramp,Shoalhaven City Council,02 4429 3111,Red Point Road,Bendalong,Ocean,NSW,2539,52,GOOD,Concrete,true,false,false,true,true,true,false,false,1
0101000020E610000081E8A4EA15D262408186E242AB9841C0,Shallow At Times,-35.1927264791566,150.565175363623,Swanhaven (The Springs Road) Boat Ramp ,Shoalhaven City Council,02 4429 3111,The Springs Road,Swanhaven,Swan Lake,NSW,2540,53,POOR,Sand,false,false,false,false,true,false,false,false,1
0101000020E61000002FF09085CBF26240B615DCDCE98840C0,All Times,-33.0696369242318,151.587343962748,Wangi Foreshore Boat Ramp,Lake Macquarie City Council,02 4921 0333,Kent Place,Lake Macquarie,Lake Macquarie,NSW,2280,54,POOR,Concrete,true,false,false,true,true,false,false,false,2
0101000020E610000005CD9342242062408136745441C841C0,Shallow At Times,-35.5644937102743,145.004426277803,Lawson Syphon,Deniliquin Council,03 5898 3000,Lawson Syphon Road,Deniliquin,Edward River,NSW,2710,55,GOOD,Concrete,false,false,false,false,false,false,false,false,1
0101000020E610000066E47A3F17326340A9480EDC57643CC0,Shallow At Times,-28.391965630996,153.565337886833,Phillip Street Boat Ramp,Tweed  Shire Council,02 6626 7000,Phillip Street,Pottsville,Mooball Creek,NSW,2489,56,GOOD,Concrete,false,false,false,true,false,false,false,false,1
